region_name,region_code,reporting_year,reporting_pop,poverty_line,headcount,poverty_gap,poverty_severity,watts,mean,pop_in_poverty,spr,pg,estimate_type
Latin America & Caribbean,LAC,2005,550371741,3,0.1464042927027243,0.059093418226072024,0.033665819161569195,0.09663025871395813,14.768118932345446,80576785,0.3258096918554298,6.15534221447174,actual
Latin America & Caribbean,LAC,2006,557003859,3,0.12333069083192692,0.04849572873400298,0.02720405973266735,0.07830412762159421,15.85115318513136,68695671,0.3147439357620844,5.479649569685423,actual
Latin America & Caribbean,LAC,2007,563605218,3,0.11105823695970798,0.04144238075400965,0.02248349346446763,0.06558958942881464,16.44685307195217,62593002,0.3086224464640517,5.034153565598187,actual
Latin America & Caribbean,LAC,2008,570177672,3,0.10205357012643058,0.03759000989168238,0.020147712991745403,0.05902321252760403,16.995346578170047,58188667,0.3023136066438121,4.7774294837918285,actual
Latin America & Caribbean,LAC,2009,576665478,3,0.09768005310958348,0.03555331392000047,0.01887093849803304,0.05543500413046015,16.993047116747203,56328715,0.2985083488487044,4.658419818908628,actual
Latin America & Caribbean,LAC,2010,583034181,3,0.08692073784021183,0.03152189955791412,0.016740820654890284,0.04922874725714172,17.582610368178496,50677761,0.29097219067469127,4.398510564017173,actual
Latin America & Caribbean,LAC,2011,589387094,3,0.07924733995072222,0.028992136286245716,0.015508292525597309,0.04550335704481565,18.312843034454595,46707359,0.2852064951549312,4.218144088012949,actual
Latin America & Caribbean,LAC,2012,595740249,3,0.07560772762916573,0.0268525563885555,0.014075490081900443,0.0415802515148409,19.032441270784762,45042566,0.2845864039956994,4.052174551494257,actual
Latin America & Caribbean,LAC,2013,602020041,3,0.06856609474203199,0.0236858572294518,0.01216030096180569,0.03635612195271918,19.522932582938875,41278163,0.27931640273534986,3.8592224133287165,actual
Latin America & Caribbean,LAC,2014,608220429,3,0.06481439654597092,0.022051611244686055,0.011225308355617674,0.033861788616310715,19.527258656050304,39421440,0.2751645270215659,3.7953600186498435,actual
Latin America & Caribbean,LAC,2015,614277357,3,0.061121984088230795,0.02044120996971453,0.01009629521567448,0.030551351052308735,19.937569255312127,37545851,0.2722115466382952,3.60024470094536,actual
Latin America & Caribbean,LAC,2016,620192706,3,0.06284396864990391,0.021867101830003583,0.011124601487389675,0.03309661270730356,20.11082565858455,38975371,0.2739846977126563,3.6541513091862305,actual
Latin America & Caribbean,LAC,2017,625934025,3,0.062001667164220425,0.02202705782551522,0.011312743580320563,0.033482768967022174,20.262931504478374,38808953,0.2710609512128596,3.6245992683441126,actual
Latin America & Caribbean,LAC,2018,631410622,3,0.061065165917791334,0.021825566854585962,0.01123401655884701,0.03317448708536286,20.45677215492331,38557194,0.26924004087031606,3.59655754126141,actual
Latin America & Caribbean,LAC,2019,636578789,3,0.061971966967047015,0.02223186550661876,0.011530368093950862,0.03401681228793717,20.495733079530204,39450040,0.2715971974509062,3.604058250883765,actual
